Released_Year,count_movies,avg_imdb_rating,min_imdb_rating,max_imdb_rating
2014,32,8.0,7.6,8.6
2004,31,8.0,7.6,8.3
2009,29,8.0,7.6,8.4
2016,28,8.0,7.6,8.4
2013,28,8.0,7.6,8.3
2001,27,8.0,7.6,8.8
2006,26,8.0,7.6,8.5
2007,26,8.0,7.6,8.4
2015,25,8.0,7.6,8.2
2012,24,8.0,7.6,8.4
2019,23,8.0,7.6,8.6
1993,23,8.0,7.6,8.9
2010,23,8.0,7.6,8.8
2017,22,8.0,7.6,8.4
2003,22,8.0,7.6,8.9
2008,21,8.0,7.6,9.0
2000,19,8.0,7.6,8.5
2002,19,8.0,7.6,8.7
2018,19,8.0,7.6,8.4
1995,19,8.0,7.6,8.6
1997,19,8.0,7.6,8.6
2011,18,8.0,7.6,8.5
2005,17,8.0,7.6,8.3
1999,17,8.0,7.6,8.8
1998,17,8.0,7.6,8.6
1962,13,8.0,7.7,8.6
1994,13,8.0,7.6,9.3
1987,12,8.0,7.6,8.3
1992,12,8.0,7.6,8.3
1973,12,8.0,7.6,8.3
1979,12,8.0,7.6,8.4
1991,12,8.0,7.6,8.6
1988,11,8.0,7.6,8.5
1982,11,8.0,7.7,8.1
1989,11,8.0,7.6,8.2
1960,11,8.0,7.7,8.5
1967,10,8.0,7.6,8.1
1996,10,8.0,7.6,8.2
1957,9,8.0,8.0,9.0
1971,9,8.0,7.6,8.4
1984,9,8.0,7.6,8.4
1986,9,8.0,7.7,8.3
1985,9,8.0,7.7,8.5
1975,9,8.0,7.7,8.7
1972,8,8.0,7.7,9.2
1968,8,8.0,7.7,8.5
1980,8,8.0,7.7,8.7
1990,8,8.0,7.6,8.7
1940,7,8.0,7.7,8.4
1978,7,8.0,7.6,8.2
1959,7,8.0,7.9,8.3
1964,7,8.0,7.6,8.4
1976,7,8.0,7.7,8.3
1966,7,8.0,7.6,8.8
2020,6,8.0,7.8,8.6
1954,6,8.0,7.7,8.6
1974,6,8.0,7.7,9.0
1955,6,8.0,7.7,8.2
1948,6,8.0,7.8,8.3
1953,5,8.0,7.6,8.2
1956,5,8.0,7.6,8.0
1946,5,8.0,7.7,8.6
1939,5,8.0,7.8,8.1
1961,5,8.0,7.6,8.2
1951,5,8.0,7.7,8.1
1963,5,8.0,7.7,8.4
1950,5,8.0,7.9,8.4
1983,5,8.0,7.7,8.3
1958,4,8.0,8.0,8.3
1965,4,8.0,7.7,8.3
1981,4,8.0,7.6,8.4
1944,4,8.0,7.6,8.3
1952,4,8.0,7.7,8.3
1931,3,8.0,7.8,8.5
1938,3,8.0,7.8,7.9
1977,3,8.0,7.6,8.6
1942,3,8.0,8.0,8.5
1935,3,8.0,7.6,7.9
1969,3,8.0,7.8,8.0
1949,3,8.0,8.0,8.1
1970,3,8.0,7.6,8.0
1933,3,8.0,7.7,7.9
1932,2,8.0,7.8,7.9
1941,2,8.0,8.0,8.3
1927,2,8.0,8.1,8.3
1947,2,8.0,7.9,8.0
1925,2,8.0,8.0,8.2
1934,2,8.0,8.0,8.1
1928,2,8.0,8.1,8.1
1945,2,8.0,7.9,8.0
1936,1,9.0,8.5,8.5
1943,1,8.0,7.8,7.8
1926,1,8.0,8.1,8.1
1930,1,8.0,8.0,8.0
PG,1,8.0,7.6,7.6
1921,1,8.0,8.3,8.3
1922,1,8.0,7.9,7.9
1924,1,8.0,8.2,8.2
1937,1,8.0,8.1,8.1
1920,1,8.0,8.1,8.1
